id,rule_num,box_product_id,single_product_id,box_unit_count,act_stock,box_process_count,time_create,time_update,user_id_create,user_id_update,box_product_stock_threshold
00cb447b-9a62-43d0-a512-0b592ed6f753,1095,492716b3-58d4-49f4-80af-b834247d86e1,4af9feb4-3305-4a3d-8776-9b833eca923c,24,1,1,1533625381906,1605344659620,00000000-0000-0000-0000-000000000000,99990564-7b66-444c-8dac-d9babc71acb2,1
02231d29-2e42-4a60-8188-c4f474ce578f,1198,9c4ccb71-12fe-4a2f-9109-2dd0fdb371db,9a0ed15a-b7e2-40aa-9f1b-a390a4587b85,6,6,1,1569314483609,1605261774433,00000000-0000-0000-0000-000000000000,8c315105-381c-4e46-a5a2-c238993fc6e8,1
02d525a9-cfad-41e1-98e4-912acf51aa0b,1424,98270a6d-31d5-4ed7-ad42-0372f68b4af4,15b3964e-c422-401a-8ea3-70a9e132a1e4,12,0,1,1604801914232,1604817561499,d347760d-1ca5-471d-b9d5-2fa91346370a,42ded210-bbeb-4fd5-9179-75e2cf1c9e45,10000
04be9f25-9b2f-4b46-ba0d-ef8e9b9d5a1b,1250,e17b347d-e7c2-4bf0-82b1-9976ba62849d,0649b124-84d2-4c99-96d5-5742f160b943,24,24,1,1579486624098,1579486624098,00000000-0000-0000-0000-000000000000,3e8f146a-47ae-4d37-90a7-7a3d11841e4d,1
04cca914-0e57-4ff6-9979-a6f02b8bdc2f,1451,b85af2ce-8e6a-4c31-bc54-0e4b40408b71,21c6726b-c4f1-446d-b8ae-51b43adf2248,1,50000,1,1605156191202,1605156191202,f497a488-8ada-4dc3-b044-fdd5791b72c1,f497a488-8ada-4dc3-b044-fdd5791b72c1,0
063aea99-e7c5-4b70-98e8-ee9ff585cb6a,1509,24b78105-a25d-4c61-8ea3-0ccdeb0ad6bb,d3332bb5-921b-4781-b290-0c7e1d287323,1,0,1,1609222561932,1609222561932,857407b5-267c-4c88-817a-44b84a5a49fe,857407b5-267c-4c88-817a-44b84a5a49fe,1
0785f7ca-d673-4625-85ba-80c47ef68138,1311,c4219087-b787-4810-bc64-ad7196eab12a,0a47d41e-752b-4887-8cd9-a6cacd62761b,6,0,1,1592607789688,1592607789688,5e23b5ac-61c1-4ac3-8d95-efbe7565ade1,5e23b5ac-61c1-4ac3-8d95-efbe7565ade1,0
07e4fb15-a15d-4131-b046-2c0d1528c3c6,1471,43565567-c576-4fde-941d-cd23ba5c27a1,76687fca-fcda-4837-aa22-20a18d169d81,1,60000,1,1606380555093,1606380555093,e42f857c-079f-4379-b333-4bd95964573b,e42f857c-079f-4379-b333-4bd95964573b,0
08d59ca8-311d-425a-9eb7-31f9a23c468c,1484,38ca068c-514f-448c-a6cd-84adb3e0c12e,cbd153b5-edd3-47d3-9566-8f24d5c478e9,1,0,1,1607945953646,1607945953646,e42f857c-079f-4379-b333-4bd95964573b,e42f857c-079f-4379-b333-4bd95964573b,2
09419961-39e0-43bc-94e7-c10181be286f,1031,7784734c-fef9-4931-a12b-9f87d02094d0,bd4f3400-09d8-4db3-8880-25a43e6c981f,12,3,1,1490234089127,1607312174917,00000000-0000-0000-0000-000000000000,99990564-7b66-444c-8dac-d9babc71acb2,1
0cdab43f-1404-47b0-9dea-13738e35c2d6,1318,da448cbb-f571-49ae-84ad-797e49cd893a,1e2086af-3fe7-49ea-88fe-e1040b601fcb,24,24,1,1594605344109,1594605344109,5eecbc01-804a-4dab-b39d-41886cdde090,5eecbc01-804a-4dab-b39d-41886cdde090,1
0ce5077e-61a6-4f49-b4ec-103f6252134a,1270,dae4e944-7112-4dfb-8da9-94dfaae2ba6a,c1ab4b92-27bf-4e7c-b9f5-6025874a21b1,20,10,1,1584577946293,1584577946293,00000000-0000-0000-0000-000000000000,520b8a83-d14f-49b8-a22a-a0f03059dbd8,2
0f056376-852c-40a2-9cd1-92dfda400095,1055,8835b79e-46e8-445d-82b6-b82df6f6da9b,321d8e40-f022-4e8b-bf4b-8f505164a0c3,24,24,1,1499999286471,1501840729055,00000000-0000-0000-0000-000000000000,520b8a83-d14f-49b8-a22a-a0f03059dbd8,1
109304f4-3832-4c48-92a8-cce42ca29b7b,1404,5735d63d-b019-4685-a5e8-4006d1353a4c,53a183a9-6efd-404b-a53d-4bc921e86d18,12,12,1,1604126995752,1605261936002,3e8f146a-47ae-4d37-90a7-7a3d11841e4d,8c315105-381c-4e46-a5a2-c238993fc6e8,1
11ad01cb-a18d-44bf-8df5-f7174911837f,1290,b84f22a3-f2d1-46fe-9254-e04876571fd7,58da3353-0f93-40fe-99b3-9611428d53fa,4,2,1,1588130310244,1605344688005,99990564-7b66-444c-8dac-d9babc71acb2,99990564-7b66-444c-8dac-d9babc71acb2,0
12092824-d220-4488-9aeb-8791eec28546,1470,ec641fb1-77f3-40ed-896c-4d3c64040376,79cd7755-f5c8-4ecc-a794-22c6da2995c2,12,6,1,1606212860242,1606212860242,deda8d34-a51b-472f-9454-068d7f79402e,deda8d34-a51b-472f-9454-068d7f79402e,1
127271bf-6ede-4243-a59f-166024873ac5,1385,71d69bc9-6c87-4507-b928-a6dc701ce93f,0b5ac9fb-8e5e-48c3-855e-65fb64bf164d,16,16,1,1601688722586,1601688722586,f086d4d4-0209-4a7c-b445-ce1e9629d8b0,f086d4d4-0209-4a7c-b445-ce1e9629d8b0,1
12f4577d-ebe6-4cda-be43-f75924b0b6ab,1104,79e90b3f-7b5a-47b7-bed6-47bdeec2f3db,4a5fc987-1e4b-4246-bae7-906c3f0e4b95,12,12,1,1537863560837,1541143911029,00000000-0000-0000-0000-000000000000,520b8a83-d14f-49b8-a22a-a0f03059dbd8,1
136f1892-3766-4d9a-b119-4155ce7cbbf2,1107,295b1344-6225-4b0f-82d0-36a15afffd31,94da3c6d-24dd-4ca4-ae8f-1fededff77d1,2,8,1,1539749055126,1606111836012,00000000-0000-0000-0000-000000000000,c6211746-f4e2-4deb-be3a-fd6d54e19c49,0
1385f505-6c08-43ac-bcbd-bbba9f5dbbca,1268,6997838a-9956-4b6f-9e79-9c1208650851,4a39a7d9-4ccf-40c0-a41d-1c02ef6c3d46,24,8,1,1584494956282,1584496346555,00000000-0000-0000-0000-000000000000,7e848195-d55f-4770-8f68-ff30d2d6b072,1
13bfc03c-114f-4092-976f-68197f901080,1520,653e524d-315d-4b18-8f71-cdba5f917912,28b0b68a-4e9f-4793-8965-d73af19495a1,1,0,1,1609223453281,1609223453281,1a94c31f-54de-4a1c-91ef-73ea6a6f5fa7,1a94c31f-54de-4a1c-91ef-73ea6a6f5fa7,1
13ec0957-b126-4d50-956a-35024f3f88dc,1047,0b2f9583-ce97-4ba0-8888-a9aa7bcfebce,1874e9bc-e267-42d9-a601-6bc6f93fb07c,24,12,1,1496831382121,1605261273594,00000000-0000-0000-0000-000000000000,8c315105-381c-4e46-a5a2-c238993fc6e8,1
1462cd4f-b7cd-47eb-afa3-ef17dd36b533,1490,aaea9588-541b-484b-9e5f-ab23a4716537,c8063119-2464-4c78-9a42-b301093bdf3f,12,6,1,1608516883764,1608516883764,c2408c57-9042-4934-96f9-a21af22c6313,c2408c57-9042-4934-96f9-a21af22c6313,1
